"day", "Time slot", "Topic"
"1", "9.00 - 9.45", "Introduction and outline"
"1", "9.45 - 10.00", "Coffee break"
"1", "10.00 - 10.45", "R Package Syntax"
"1", "10.45 - 11.30", "Exercise"
"1", "11.30 - 12.15", "Software Engineering Workflow"
"1", "12.15 - 13.15", "Lunch break"
"1", "13.15 - 14.00", "Exercise"
"1", "14:00 - 14:45", "Package Quality"
"1", "14.45 - 15.30", "Exercise"
"1", "15.30 - 15.45", "Coffee break"
"1", "15.45 - 16.30", "Collaboration via GitHub"
"1", "16.30 - 17.00", "Exercise"
"2", "9.00 - 9.45", "Publication of R Packages"
"2", "9.45 - 10.00", "Coffee break"
"2", "10.00 - 10.45", "Exercise"
"2", "10.45 - 11.30", "Code Optimization"
"2", "11.30 - 12.15", "Exercise"
"2", "12.15 - 13.15", "Lunch break"
"2", "13.15 - 14.00", "Shiny Design and Modules"
"2", "14.00 - 14.45", "Exercise"
"2", "14.45 - 15.15", "Shiny Tests"
"2", "15.15 - 15.45", "Exercise"
"2", "15.45 - 16.00", "Coffee break"
"2", "16.00 - 16.30", "Summary and Q&A"
